iter	Passed	Remaining
0	150	14937
1	155	7596
2	163	5281
3	166	3999
4	171	3253
5	178	2796
6	182	2420
7	184	2119
8	186	1881
9	188	1692
10	191	1549
11	193	1419
12	195	1307
13	197	1211
14	199	1129
15	201	1056
16	203	991
17	206	942
18	208	890
19	210	842
20	212	799
21	214	760
22	216	723
23	218	690
24	221	664
25	223	635
26	225	608
27	227	583
28	228	560
29	230	538
30	232	517
31	235	501
32	237	482
33	239	465
34	241	448
35	243	432
36	245	417
37	247	403
38	250	392
39	252	378
40	254	366
41	255	352
42	257	340
43	258	329
44	260	318
45	262	308
46	265	299
47	267	289
48	268	279
49	270	270
50	272	261
51	274	253
52	276	244
53	279	238
54	280	229
55	282	222
56	284	214
57	286	207
58	288	200
59	290	193
60	293	187
61	295	181
62	297	174
63	299	168
64	301	162
65	303	156
66	304	150
67	307	144
68	309	139
69	311	133
70	313	128
71	315	122
72	317	117
73	318	112
74	320	106
75	324	102
76	326	97
77	327	92
78	329	87
79	331	82
80	333	78
81	335	73
82	338	69
83	340	64
84	342	60
85	344	56
86	346	51
87	348	47
88	350	43
89	353	39
90	355	35
91	357	31
92	359	27
93	361	23
94	363	19
95	364	15
96	368	11
97	370	7
98	372	3
99	374	0
