iter	Passed	Remaining
0	325	325284
1	328	164112
2	344	114462
3	348	86720
4	357	71211
5	361	59923
6	364	51663
7	368	45693
8	371	40865
9	373	37009
10	376	33838
11	378	31189
12	384	29160
13	386	27246
14	389	25593
15	392	24109
16	394	22802
17	399	21805
18	403	20827
19	405	19875
20	408	19021
21	412	18328
22	415	17632
23	417	16982
24	420	16384
25	422	15843
26	426	15370
27	429	14899
28	431	14456
29	434	14038
30	436	13649
31	438	13277
32	442	12964
33	444	12638
34	447	12331
35	449	12042
36	453	11810
37	456	11549
38	458	11299
39	460	11061
40	463	10834
41	465	10620
42	471	10490
43	474	10304
44	476	10113
45	478	9927
46	482	9791
47	485	9637
48	488	9478
49	490	9325
50	493	9177
51	497	9073
52	500	8934
53	502	8799
54	504	8666
55	506	8540
56	508	8416
57	514	8348
58	517	8246
59	519	8144
60	523	8057
61	527	7987
62	530	7885
63	532	7782
64	534	7683
65	536	7588
66	538	7494
67	541	7415
68	543	7330
69	545	7242
70	546	7156
71	548	7073
72	550	6993
73	553	6923
74	558	6891
75	560	6820
76	563	6750
77	566	6694
78	572	6674
79	575	6622
80	581	6600
81	590	6609
82	592	6543
83	596	6500
84	604	6504
85	607	6452
86	610	6411
87	613	6356
88	621	6358
89	624	6311
90	626	6260
91	629	6212
92	634	6190
93	637	6140
94	639	6094
95	645	6079
96	655	6104
97	658	6061
98	660	6013
99	667	6008
100	669	5960
101	671	5914
102	673	5869
103	676	5825
104	681	5807
105	684	5770
106	687	5734
107	689	5695
108	692	5656
109	694	5622
110	697	5585
111	699	5549
112	702	5511
113	705	5481
114	710	5468
115	714	5443
116	717	5417
117	720	5388
118	725	5370
119	727	5338
120	730	5307
121	732	5273
122	742	5291
123	744	5261
124	746	5228
125	749	5195
126	755	5191
127	757	5160
128	759	5128
129	761	5097
130	763	5067
131	770	5063
132	772	5035
133	774	5006
134	777	4979
135	779	4951
136	785	4945
137	787	4917
138	789	4889
139	791	4863
140	793	4836
141	797	4815
142	799	4793
143	802	4769
144	804	4741
145	806	4715
146	807	4687
147	812	4676
148	814	4652
149	816	4628
150	818	4604
151	820	4580
152	823	4560
153	827	4546
154	829	4522
155	831	4499
156	833	4475
157	835	4451
158	837	4430
159	842	4422
160	843	4397
161	845	4374
162	847	4353
163	849	4332
164	853	4317
165	858	4312
166	860	4292
167	862	4273
168	865	4255
169	868	4238
170	874	4238
171	876	4219
172	878	4200
173	880	4181
174	882	4161
175	885	4143
176	888	4132
177	890	4113
178	892	4095
179	895	4078
180	897	4061
181	903	4060
182	905	4044
183	908	4026
184	910	4009
185	912	3992
186	914	3975
187	918	3967
188	921	3952
189	923	3936
190	925	3921
191	928	3906
192	933	3902
193	935	3886
194	937	3871
195	940	3856
196	942	3842
197	947	3838
198	950	3823
199	952	3809
200	954	3794
201	956	3779
202	958	3764
203	962	3755
204	964	3741
205	967	3727
206	969	3713
207	971	3698
208	974	3689
209	977	3678
210	980	3665
211	982	3651
212	984	3639
213	987	3626
214	992	3623
215	994	3610
216	996	3596
217	998	3582
218	1000	3569
219	1002	3555
220	1005	3545
221	1007	3532
222	1010	3519
223	1012	3506
224	1014	3493
225	1018	3489
226	1021	3480
227	1024	3468
228	1027	3460
229	1031	3451
230	1033	3441
231	1036	3429
232	1038	3418
233	1040	3406
234	1042	3394
235	1047	3389
236	1049	3377
237	1051	3366
238	1053	3353
239	1055	3341
240	1057	3330
241	1062	3328
242	1064	3317
243	1066	3305
244	1069	3294
245	1071	3284
246	1076	3281
247	1078	3270
248	1080	3259
249	1082	3247
250	1084	3235
251	1086	3224
252	1088	3212
253	1091	3205
254	1093	3194
255	1095	3183
256	1097	3171
257	1099	3163
258	1102	3153
259	1107	3153
260	1111	3146
261	1113	3137
262	1116	3127
263	1118	3118
264	1122	3112
265	1124	3101
266	1126	3092
267	1128	3083
268	1131	3073
269	1136	3073
270	1139	3064
271	1141	3055
272	1144	3046
273	1146	3037
274	1150	3034
275	1153	3024
276	1155	3015
277	1157	3005
278	1159	2996
279	1161	2987
280	1166	2984
281	1168	2976
282	1170	2966
283	1173	2957
284	1175	2948
285	1177	2938
286	1182	2936
287	1184	2928
288	1186	2919
289	1188	2910
290	1190	2901
291	1193	2892
292	1200	2895
293	1202	2886
294	1204	2878
295	1206	2869
296	1210	2864
297	1212	2857
298	1215	2848
299	1217	2840
300	1219	2832
301	1222	2824
302	1229	2828
303	1232	2821
304	1234	2813
305	1237	2806
306	1243	2805
307	1245	2799
308	1248	2791
309	1250	2782
310	1252	2773
311	1253	2764
312	1258	2762
313	1260	2754
314	1263	2746
315	1265	2738
316	1267	2731
317	1273	2730
318	1275	2722
319	1277	2714
320	1280	2707
321	1282	2700
322	1286	2696
323	1288	2688
324	1290	2680
325	1292	2672
